NAME,WEEKS
Jerome Ford,"[(1, 'DAL', 0.0), (4, 'LV', 0.0)]"
Aaron Jones,"[(1, 'NYG', 0.0), (3, 'HOU', 0.0), (4, 'GB', 0.0), (7, 'DET', 0.0), (9, 'IND', 0.0), (10, 'JAX', 0.0), (12, 'CHI', 0.0)]"
Deebo Samuel Sr.,"[(1, 'NYJ', 0.0), (2, 'MIN', 0.0), (6, 'SEA', 0.0), (10, 'TB', 0.0)]"
C.J. Stroud,"[(1, 'IND', 0.0), (2, 'CHI', 0.0), (4, 'JAX', 0.0), (5, 'BUF', 0.0), (6, 'NE', 0.0), (9, 'NYJ', 0.0), (10, 'DET', 0.0), (11, 'DAL', 0.0), (12, 'TEN', 0.0), (13, 'JAX', 0.0)]"
Tua Tagovailoa,"[(1, 'JAX', 0.0), (8, 'ARI', 0.0), (9, 'BUF', 0.0), (11, 'LV', 0.0), (12, 'NE', 0.0), (13, 'GB', 0.0)]"
Tony Pollard,"[(1, 'CHI', 0.0), (2, 'NYJ', 0.0), (4, 'MIA', 0.0), (6, 'IND', 0.0), (8, 'DET', 0.0), (9, 'NE', 0.0), (10, 'LAC', 0.0), (12, 'HOU', 0.0)]"
Breece Hall,"[(1, 'SF', 0.0), (2, 'TEN', 0.0), (3, 'NE', 0.0), (6, 'BUF', 0.0), (7, 'PIT', 0.0), (10, 'ARI', 0.0), (11, 'IND', 0.0)]"
Brian Robinson Jr.,"[(1, 'TB', 0.0), (2, 'NYG', 0.0), (4, 'ARI', 0.0), (5, 'CLE', 0.0), (7, 'CAR', 0.0), (11, 'PHI', 0.0), (13, 'TEN', 0.0)]"
Geno Smith,"[(1, 'DEN', 0.0), (2, 'NE', 0.0), (3, 'MIA', 0.0), (4, 'DET', 0.0), (5, 'NYG', 0.0), (6, 'SF', 0.0), (7, 'ATL', 0.0), (9, 'LAR', 0.0), (11, 'SF', 0.0), (12, 'ARI', 0.0), (13, 'NYJ', 0.0)]"
Nico Collins,"[(1, 'IND', 0.0), (2, 'CHI', 0.0), (3, 'MIN', 0.0), (4, 'JAX', 0.0), (5, 'BUF', 0.0), (12, 'TEN', 0.0), (13, 'JAX', 0.0)]"
Jahmyr Gibbs,"[(1, 'LAR', 0.0), (2, 'TB', 0.0), (3, 'ARI', 0.0), (4, 'SEA', 0.0), (6, 'DAL', 0.0), (7, 'MIN', 0.0), (8, 'TEN', 0.0), (9, 'GB', 0.0), (10, 'HOU', 0.0), (11, 'JAX', 0.0), (12, 'IND', 0.0)]"
Rashee Rice,"[(1, 'BAL', 0.0), (2, 'CIN', 0.0), (3, 'ATL', 0.0)]"
